Brand,Model,Interface,Form Factor,Capacities,Lowest Storage Capacity,Highest Storage Capacity,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,Read (MB/s),Write (MB/s),Categories,Lowest Price,Highest Price,Number of Ratings,Rating,Disk Rating,Amazons Choice,Product Link
ADATA,S70/S70 Blade,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,Innogrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,96,7400,6400,High-End NVMe,64.99,104.6,8652,4.6,43724,Yes,https://amzn.to/41V7EA5
ADATA,SU630/SU635,SATA/AHCI,2.5,240GB-960GB,240GB,960GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Micron,QLC,64,520,450,Entry-Level SATA,29.99,,7413,4.7,3842,No,https://amazon.com/dp/B07PLNNDL2
ADATA,SU650/SU655,SATA/AHCI,2.5,60GB-960GB,60GB,960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,32/64,520,450,Entry-Level SATA,,190.72,767,4,4302,No,https://amzn.to/3RF6rtK
ADATA,SU750/SU760,SATA/AHCI,2.5,256GB-1TB,256GB,1TB,Realtek RTS5733DMQ,2-ch,No,N/A,Micron,TLC,64,550,520,Entry-Level SATA,,90,17,4.2,4197,No,https://amazon.com/dp/B07QBQKS98
ADATA,SU800/SX850,SATA/AHCI,2.5 & M.2 ,128GB-2TB,128GB,2TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,No,Micron,TLC,32/64,560,520,Mid-Range SATA,29.95,170.49,12927,4.7,4967,No,https://amzn.to/45cLKsb
ADATA,Swordfish,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,250GB,2TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,1800,1200,Entry-Level NVMe,19.99,127.4,3033,4.4,14043,No,https://amazon.com/dp/B08973FBKQ
ADATA,SX950U,SATA/AHCI,2.5,120GB-960GB,120GB,960GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,No,Micron,TLC,32/64,560,520,Mid-Range SATA,,,14,3.8,4420,No,https://amazon.com/dp/B07C657RYV
ADATA,SX6000,x2 PCIe 2.0/NVMe,M.2,128GB-1TB,128GB,1TB,Realtek RTS5760,"Dual-core, 4-ch, 8-CE/ch",Yes,Yes,Micron,TLC,32,1000,800,Entry-Level NVMe,,,Unavailable,Unavailable,6741,Unavailable,Unavailable
ADATA,SX6000 Lite,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,128GB,1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,1800,1200,Entry-Level NVMe,24.99,81.62,12205,4.6,12922,No,https://amazon.com/dp/B07N22YS84
ADATA,SX6000 Pro/S5,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,256GB,1TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,64,2100,1500,Entry-Level NVMe,50.82,91.9,1300,4.3,14289,No,https://amazon.com/dp/B07H52ML35
ADATA,SX7000,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,128GB,512GB,SMI SM2260,"Dual R5, 8x4",Yes,No,Micron,TLC,64,1800,850,Entry-Level NVMe,79.99,129.38,154,4.1,9389,No,https://amazon.com/dp/B06Y6C25MJ
ADATA,SX8100/S7,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,256GB,4TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500,3000,Mid-Range NVMe,49.75,129.99,1300,4.3,21353,No,https://amazon.com/dp/B0875Y43SM
ADATA,SX8200/S11,x4 PCIe 3.0/NVMe,M.2,240GB-960GB,240GB,960GB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3200,1700,Mid-Range NVMe,,,Unavailable,Unavailable,20035,Unavailable,Unavailable
ADATA,SX8200 Pro/S11 Pro,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,512GB,2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3500,3000,Mid-Range NVMe,32.4,109.99,12180,4.6,16547,No,https://amzn.to/43jY6hw
